rowid,name,rank
701,MERRITT,701
702,HURST,702
703,VILLANUEVA,703
704,ROACH,704
705,NOLAN,705
706,LAM,706
707,YODER,707
708,MCCULLOUGH,708
709,LESTER,709
710,SANTANA,710
711,VALENZUELA,711
712,WINTERS,712
713,BARRERA,713
714,LEACH,714
715,ORR,714
716,BERGER,716
717,MCKEE,717
718,STRONG,718
719,CONWAY,719
720,STEIN,720
721,WHITEHEAD,721
722,BULLOCK,722
723,ESCOBAR,723
724,KNOX,724
725,MEADOWS,725
726,SOLOMON,726
727,VELEZ,727
728,ODONNELL,728
729,KERR,729
730,STOUT,730
731,BLANKENSHIP,731
732,BROWNING,732
733,KENT,733
734,LOZANO,734
735,BARTLETT,735
736,PRUITT,736
737,BUCK,737
738,BARR,738
739,GAINES,739
740,DURHAM,740
741,GENTRY,741
742,MCINTYRE,742
743,SLOAN,743
744,ROCHA,744
745,MELENDEZ,744
746,HERMAN,746
747,SEXTON,747
748,MOON,748
749,HENDRICKS,749
750,RANGEL,750
751,STARK,751
752,LOWERY,752
753,HARDIN,753
754,HULL,754
755,SELLERS,755
756,ELLISON,756
757,CALHOUN,757
758,GILLESPIE,758
759,MORA,759
760,KNAPP,760
761,MCCALL,761
762,MORSE,762
763,DORSEY,763
764,WEEKS,764
765,NIELSEN,765
766,LIVINGSTON,766
767,LEBLANC,767
768,MCLEAN,768
769,BRADSHAW,769
770,GLASS,770
771,MIDDLETON,771
772,BUCKLEY,772
773,SCHAEFER,773
774,FROST,774
775,HOWE,775
776,HOUSE,776
777,MCINTOSH,777
778,HO,778
779,PENNINGTON,779
780,REILLY,780
781,HEBERT,781
782,MCFARLAND,782
783,HICKMAN,783
784,NOBLE,784
785,SPEARS,785
786,CONRAD,786
787,ARIAS,787
788,GALVAN,788
789,VELAZQUEZ,789
790,HUYNH,790
791,FREDERICK,791
792,RANDOLPH,792
793,CANTU,793
794,FITZPATRICK,794
795,MAHONEY,795
796,PECK,796
797,VILLA,797
798,MICHAEL,798
799,DONOVAN,799
800,MCCONNELL,800
801,WALLS,801
802,BOYLE,802
803,MAYER,803
804,ZUNIGA,804
805,GILES,805
806,PINEDA,806
807,PACE,807
808,HURLEY,808
809,MAYS,809
810,MCMILLAN,810
811,CROSBY,811
812,AYERS,812
813,CASE,813
814,BENTLEY,814
815,SHEPARD,815
816,EVERETT,816
817,PUGH,817
818,DAVID,818
819,MCMAHON,819
820,DUNLAP,820
821,BENDER,821
822,HAHN,822
823,HARDING,823
824,ACEVEDO,824
825,RAYMOND,825
826,BLACKBURN,826
827,DUFFY,827
828,LANDRY,828
829,DOUGHERTY,829
830,BAUTISTA,830
831,SHAH,831
832,POTTS,832
833,ARROYO,833
834,VALENTINE,834
835,MEZA,835
836,GOULD,836
837,VAUGHAN,837
838,FRY,838
839,RUSH,839
840,AVERY,840
841,HERRING,841
842,DODSON,842
843,CLEMENTS,843
844,SAMPSON,844
845,TAPIA,845
846,BEAN,846
847,LYNN,847
848,CRANE,848
849,FARLEY,849
850,CISNEROS,850
851,BENTON,851
852,ASHLEY,852
853,MCKAY,853
854,FINLEY,854
855,BEST,855
856,BLEVINS,856
857,FRIEDMAN,857
858,MOSES,858
859,SOSA,859
860,BLANCHARD,860
861,HUBER,861
862,FRYE,862
863,KRUEGER,863
864,BERNARD,864
865,ROSARIO,865
866,RUBIO,866
867,MULLEN,867
868,BENJAMIN,868
869,HALEY,869
870,CHUNG,870
871,MOYER,871
872,CHOI,872
873,HORNE,873
874,YU,874
875,WOODWARD,875
876,ALI,876
877,NIXON,877
878,HAYDEN,878
879,RIVERS,879
880,ESTES,880
881,MCCARTY,881
882,RICHMOND,882
883,STUART,883
884,MAYNARD,884
885,BRANDT,885
886,OCONNELL,886
887,HANNA,887
888,SANFORD,888
889,SHEPPARD,889
890,CHURCH,890
891,BURCH,891
892,LEVY,892
893,RASMUSSEN,893
894,COFFEY,894
895,PONCE,895
896,FAULKNER,896
897,DONALDSON,897
898,SCHMITT,898
899,NOVAK,899
900,COSTA,900
901,MONTES,901
902,BOOKER,902
903,CORDOVA,903
904,WALLER,904
905,ARELLANO,905
906,MADDOX,906
907,MATA,907
908,BONILLA,908
909,STANTON,909
910,COMPTON,910
911,KAUFMAN,911
912,DUDLEY,912
913,MCPHERSON,913
914,BELTRAN,914
915,DICKSON,915
916,MCCANN,916
917,VILLEGAS,917
918,PROCTOR,918
919,HESTER,919
920,CANTRELL,920
921,DAUGHERTY,921
922,CHERRY,922
923,BRAY,923
924,DAVILA,924
925,ROWLAND,925
926,LEVINE,926
927,MADDEN,926
928,SPENCE,928
929,GOOD,929
930,IRWIN,930
931,WERNER,931
932,KRAUSE,932
933,PETTY,933
934,WHITNEY,934
935,BAIRD,935
936,HOOPER,936
937,POLLARD,937
938,ZAVALA,938
939,JARVIS,939
940,HOLDEN,940
941,HAAS,941
942,HENDRIX,941
943,MCGRATH,943
944,BIRD,944
945,LUCERO,945
946,TERRELL,946
947,RIGGS,947
948,JOYCE,948
949,MERCER,949
950,ROLLINS,949
951,GALLOWAY,951
952,DUKE,952
953,ODOM,953
954,ANDERSEN,954
955,DOWNS,955
956,HATFIELD,956
957,BENITEZ,957
958,ARCHER,958
959,HUERTA,959
960,TRAVIS,960
961,MCNEIL,961
962,HINTON,962
963,ZHANG,963
964,HAYS,964
965,MAYO,965
966,FRITZ,966
967,BRANCH,967
968,MOONEY,968
969,EWING,969
970,RITTER,970
971,ESPARZA,971
972,FREY,972
973,BRAUN,973
974,GAY,974
975,RIDDLE,975
976,HANEY,976
977,KAISER,977
978,HOLDER,978
979,CHANEY,979
980,MCKNIGHT,980
981,GAMBLE,981
982,VANG,982
983,COOLEY,983
984,CARNEY,984
985,COWAN,985
986,FORBES,986
987,FERRELL,987
988,DAVIES,988
989,BARAJAS,989
990,SHEA,990
991,OSBORN,991
992,BRIGHT,992
993,CUEVAS,993
994,BOLTON,994
995,MURILLO,995
996,LUTZ,996
997,DUARTE,997
998,KIDD,998
999,KEY,999
1000,COOKE,1000
1001,GOFF,1001
1002,DEJESUS,1002
1003,MARIN,1003
1004,DOTSON,1004
1005,BONNER,1005
1006,COTTON,1006
1007,MERRILL,1007
1008,LINDSAY,1008
1009,LANCASTER,1009
1010,MCGOWAN,1010
1011,FELIX,1011
1012,SALGADO,1012
1013,SLATER,1013
1014,CARVER,1014
1015,GUTHRIE,1015
1016,HOLMAN,1016
1017,FULTON,1017
1018,SNIDER,1018
1019,SEARS,1019
1020,WITT,1020
1021,NEWELL,1021
1022,BYERS,1022
1023,LEHMAN,1023
1024,GORMAN,1024
1025,COSTELLO,1025
1026,DONAHUE,1026
1027,DELANEY,1027
1028,ALBERT,1028
1029,WORKMAN,1029
1030,ROSAS,1030
1031,SPRINGER,1031
1032,KINNEY,1032
1033,JUSTICE,1032
1034,ODELL,1034
1035,LAKE,1035
1036,DONNELLY,1036
1037,LAW,1037
1038,DAILEY,1038
1039,GUEVARA,1039
1040,SHOEMAKER,1040
1041,BARLOW,1041
1042,MARINO,1042
1043,WINTER,1043
1044,CRAFT,1044
1045,KATZ,1045
1046,PICKETT,1046
1047,ESPINOSA,1047
1048,MALONEY,1048
1049,DALY,1048
1050,GOLDSTEIN,1050
1051,CROWLEY,1051
1052,VOGEL,1052
1053,KUHN,1053
1054,PEARCE,1054
1055,HARTLEY,1055
1056,CLEVELAND,1056
1057,PALACIOS,1057
1058,MCFADDEN,1058
1059,BRITT,1059
1060,WOOTEN,1060
1061,CORTES,1061
1062,DILLARD,1062
1063,CHILDERS,1063
1064,ALFORD,1064
1065,DODD,1065
1066,EMERSON,1066
1067,WILDER,1067
1068,LANGE,1068
1069,GOLDBERG,1069
1070,QUINTERO,1070
1071,BEACH,1071
1072,ENRIQUEZ,1072
1073,QUINTANA,1073
1074,HELMS,1074
1075,MACKEY,1075
1076,FINCH,1076
1077,CRAMER,1077
1078,MINOR,1078
1079,FLANAGAN,1079
1080,FRANKS,1080
1081,CORONA,1081
1082,KENDALL,1082
1083,MCCABE,1083
1084,HENDRICKSON,1084
1085,MOSER,1085
1086,MCDERMOTT,1086
1087,CAMP,1087
1088,MCLEOD,1088
1089,BERNAL,1089
1090,KAPLAN,1090
1091,MEDRANO,1091
1092,LUGO,1092
1093,TRACY,1093
1094,BACON,1094
1095,CROWE,1095
1096,RICHTER,1096
1097,WELSH,1097
1098,HOLLEY,1098
1099,RATLIFF,1099
1100,MAYFIELD,1100
